year;loc;rep;blk;plt;pgl;gen;FNR;yld;MT;NF;RAM;RH;ZR;
y18;ack;r2;b5;242;RGS050;101OTT09;71103;101,39;;;;;;
y18;ack;r2;b1;52;RGS020;101QUA01;70722;78,92;;;;;;
y18;ack;r2;b3;146;RGS078;146ETI01;70951;77,04;;;;;;
y18;ack;r2;b1;7;RGS079;146ETI02;70714;81,59;;;;;;
y18;ack;r2;b4;225;RGS080;146ETI03;71035;54,47;;;;;;
y18;ack;r2;b5;272;RGS081;146ETI04;71160;90,00;;;;;;
y18;ack;r2;b3;159;RGS082;146ETI05;70947;80,67;;;;;;
y18;ack;r2;b4;220;RGS083;146ETI06;71046;84,29;;;;;;
y18;ack;r2;b5;298;RGS084;146ETI07;71110;70,66;;;;;;
y18;ack;r2;b3;136;RGS085;146ETI08;70929;84,81;;;;;;
y18;ack;r2;b1;33;RGS086;146ETI09;70759;84,59;;;;;;
y18;ack;r2;b3;177;RGS087;146ETI10;70911;85,99;;;;;;
y18;ack;r2;b5;271;RGS088;146ETI12;71161;85,38;;;;;;
y18;ack;r2;b4;207;RGS089;146ETI13;71052;74,05;;;;;;
y18;ack;r2;b5;284;RGS090;146ETI14;71136;91,79;;;;;;
y18;ack;r2;b3;168;RGS071;146JEN01;70932;83,53;;;;;;
y18;ack;r2;b3;158;RGS072;146JEN02;70948;82,07;;;;;;
y18;ack;r2;b5;255;RGS073;146JEN03;71128;91,84;;;;;;
y18;ack;r2;b1;28;RGS074;146JEN04;70753;88,72;;;;;;
y18;ack;r2;b5;259;RGS075;146JEN05;71138;95,05;;;;;;
y18;ack;r2;b1;32;RGS076;146JEN06;70760;78,57;;;;;;
y18;ack;r2;b1;26;RGS077;146JEN07;70751;88,00;;;;;;
y18;ack;r2;b1;38;RGS051;146MER01;70748;94,10;;;;;;
y18;ack;r2;b2;106;RGS052;146MER02;70834;82,36;;;;;;
y18;ack;r2;b1;45;RGS053;146MER03;70735;88,07;;;;;;
y18;ack;r2;b4;180;RGS054;146MER04;70908;90,40;;;;;;
y18;ack;r2;b5;243;RGS055;146MER05;71104;93,83;;;;;;
y18;ack;r2;b3;141;RGS056;146MER06;70940;90,35;;;;;;
y18;ack;r2;b3;129;RGS057;146MER07;70916;90,03;;;;;;
y18;ack;r2;b2;81;RGS058;146MER08;70840;88,00;;;;;;
y18;ack;r2;b1;3;RGS059;146MER09;70704;77,37;;;;;;
y18;ack;r2;b2;84;RGS060;146MER10;70843;84,32;;;;;;
y18;ack;r2;b1;44;RGS091;146OTT01;70736;81,79;;;;;;
y18;ack;r2;b2;100;RGS092;146OTT02;70846;88,13;;;;;;
y18;ack;r2;b5;285;RGS093;146OTT03;71135;80,08;;;;;;
y18;ack;r2;b2;90;RGS094;146OTT04;70855;81,49;;;;;;
y18;ack;r2;b5;240;RGS095;146OTT05;71008;88,15;;;;;;
y18;ack;r2;b2;88;RGS096;146OTT06;70853;75,04;;;;;;
y18;ack;r2;b2;110;RGS097;146OTT07;70824;88,11;;;;;;
y18;ack;r2;b4;224;RGS098;146OTT08;71036;85,11;;;;;;
y18;ack;r2;b2;104;RGS099;146OTT09;70836;79,66;;;;;;
y18;ack;r2;b2;67;RGS100;146OTT10;70814;64,53;;;;;;
y18;ack;r2;b4;198;RGS061;146QUA01;71031;84,92;;;;;;
y18;ack;r2;b5;249;RGS062;146QUA02;71116;100,41;;;;;;
y18;ack;r2;b1;8;RGS063;146QUA03;70715;90,59;;;;;;
y18;ack;r2;b5;274;RGS064;146QUA04;71158;94,16;;;;;;
y18;ack;r2;b2;103;RGS065;146QUA05;70837;79,45;;;;;;
y18;ack;r2;b2;73;RGS066;146QUA06;70826;83,87;;;;;;
y18;ack;r2;b1;16;RGS067;146QUA07;70729;96,09;;;;;;
y18;ack;r2;b1;9;RGS068;146QUA08;70716;94,73;;;;;;
y18;ack;r2;b2;98;RGS069;146QUA09;70848;81,79;;;;;;
y18;ack;r2;b5;266;RGS070;146QUA10;71151;86,37;;;;;;
y18;ack;r2;b1;17;RGS256;ANT;70730;91,98;;;;;;
y18;ack;r2;b2;89;RGS256;ANT;70854;79,33;;;;;;
y18;ack;r2;b3;143;RGS256;ANT;70942;91,83;;;;;;
y18;ack;r2;b4;191;RGS256;ANT;71018;86,80;;;;;;
y18;ack;r2;b5;245;RGS256;ANT;71106;97,88;;;;;;
y18;ack;r2;b1;10;RGS229;ANTETI01;70717;95,71;;;;;;
y18;ack;r2;b5;258;RGS230;ANTETI02;71131;104,18;;;;;;
y18;ack;r2;b4;206;RGS231;ANTETI03;71051;88,50;;;;;;
y18;ack;r2;b1;25;RGS232;ANTETI04;70750;97,37;;;;;;
y18;ack;r2;b5;254;RGS233;ANTETI05;71127;95,97;;;;;;
y18;ack;r2;b2;93;RGS234;ANTETI06;70859;71,54;;;;;;
y18;ack;r2;b4;231;RGS235;ANTETI07;71023;84,51;;;;;;
y18;ack;r2;b5;246;RGS236;ANTETI08;71107;89,79;;;;;;
y18;ack;r2;b3;122;RGS237;ANTETI09;70903;73,39;;;;;;
y18;ack;r2;b2;118;RGS238;ANTETI10;70810;82,57;;;;;;
y18;ack;r2;b2;102;RGS239;ANTETI11;70844;88,39;;;;;;
y18;ack;r2;b3;172;RGS240;ANTETI12;70922;88,17;;;;;;
y18;ack;r2;b5;261;RGS241;ANTETI13;71140;104,62;;;;;;
y18;ack;r2;b4;194;RGS242;ANTETI14;71027;95,06;;;;;;
y18;ack;r2;b3;169;RGS243;ANTETI15;70925;90,20;;;;;;
y18;ack;r2;b2;66;RGS244;ANTETI16;70807;80,49;;;;;;
y18;ack;r2;b2;69;RGS245;ANTETI17;70816;86,82;;;;;;
y18;ack;r2;b2;108;RGS246;ANTETI18;70832;78,08;;;;;;
y18;ack;r2;b3;176;RGS201;ANTMER01;70912;91,19;;;;;;
y18;ack;r2;b4;238;RGS202;ANTMER02;71010;90,26;;;;;;
y18;ack;r2;b2;115;RGS203;ANTMER03;70813;85,26;;;;;;
y18;ack;r2;b3;139;RGS204;ANTMER04;70938;87,78;;;;;;
y18;ack;r2;b5;292;RGS205;ANTMER05;71122;95,91;;;;;;
y18;ack;r2;b2;109;RGS206;ANTMER06;70825;93,98;;;;;;
y18;ack;r2;b1;24;RGS207;ANTMER07;70743;106,37;;;;;;
y18;ack;r2;b3;171;RGS208;ANTMER08;70923;80,51;;;;;;
y18;ack;r2;b1;18;RGS209;ANTMER09;70731;93,98;;;;;;
y18;ack;r2;b2;64;RGS210;ANTMER10;70805;78,32;;;;;;
y18;ack;r2;b3;166;RGS211;ANTMER11;70934;91,68;;;;;;
y18;ack;r2;b3;134;RGS212;ANTMER12;70927;83,55;;;;;;
y18;ack;r2;b1;48;RGS213;ANTMER13;70732;88,50;;;;;;
y18;ack;r2;b2;92;RGS214;ANTMER14;70860;67,84;;;;;;
y18;ack;r2;b3;145;RGS215;ANTMER15;70950;82,37;;;;;;
y18;ack;r2;b4;212;RGS216;ANTMER16;71060;79,50;;;;;;
y18;ack;r2;b2;76;RGS247;ANTOTT01;70829;87,12;;;;;;
y18;ack;r2;b1;12;RGS248;ANTOTT02;70719;87,47;;;;;;
y18;ack;r2;b4;181;RGS249;ANTOTT03;71002;83,69;;;;;;
y18;ack;r2;b5;268;RGS250;ANTOTT04;71153;90,81;;;;;;
y18;ack;r2;b5;278;RGS217;ANTQUA01;71148;89,90;;;;;;
y18;ack;r2;b5;296;RGS218;ANTQUA02;71112;98,97;;;;;;
y18;ack;r2;b1;42;RGS219;ANTQUA03;70744;99,28;;;;;;
y18;ack;r2;b4;228;RGS220;ANTQUA04;71032;93,00;;;;;;
y18;ack;r2;b2;60;RGS221;ANTQUA05;70708;82,42;;;;;;
y18;ack;r2;b5;283;RGS222;ANTQUA06;71137;94,47;;;;;;
y18;ack;r2;b3;162;RGS223;ANTQUA07;70944;96,56;;;;;;
y18;ack;r2;b4;183;RGS224;ANTQUA08;71004;81,78;;;;;;
y18;ack;r2;b3;126;RGS225;ANTQUA09;70907;84,17;;;;;;
y18;ack;r2;b1;1;RGS226;ANTQUA10;70702;75,25;;;;;;
y18;ack;r2;b4;229;RGS227;ANTQUA11;71025;85,15;;;;;;
y18;ack;r2;b5;244;RGS228;ANTQUA12;71105;88,77;;;;;;
y18;ack;r2;b1;35;RGS253;D33;70757;86,14;;;;;;
y18;ack;r2;b2;119;RGS253;D33;70809;77,76;;;;;;
y18;ack;r2;b3;173;RGS253;D33;70921;76,60;;;;;;
y18;ack;r2;b4;227;RGS253;D33;71033;79,05;;;;;;
y18;ack;r2;b5;281;RGS253;D33;71145;103,13;;;;;;
y18;ack;r2;b4;182;RGS131;D33ETI01;71003;93,25;;;;;;
y18;ack;r2;b5;282;RGS132;D33ETI02;71144;88,71;;;;;;
y18;ack;r2;b2;96;RGS133;D33ETI03;70856;82,47;;;;;;
y18;ack;r2;b1;51;RGS134;D33ETI04;70723;93,01;;;;;;
y18;ack;r2;b3;157;RGS135;D33ETI05;70949;91,65;;;;;;
y18;ack;r2;b3;121;RGS136;D33ETI06;70902;88,29;;;;;;
y18;ack;r2;b2;111;RGS137;D33ETI07;70823;69,33;;;;;;
y18;ack;r2;b1;4;RGS138;D33ETI08;70705;81,51;;;;;;
y18;ack;r2;b3;144;RGS139;D33ETI09;70943;85,82;;;;;;
y18;ack;r2;b4;237;RGS140;D33ETI10;71011;89,50;;;;;;
y18;ack;r2;b3;132;RGS141;D33ETI11;70919;86,06;;;;;;
y18;ack;r2;b5;289;RGS142;D33ETI12;71125;92,10;;;;;;
y18;ack;r2;b1;49;RGS143;D33ETI13;70725;93,10;;;;;;
y18;ack;r2;b3;160;RGS144;D33ETI14;70946;86,51;;;;;;
y18;ack;r2;b5;253;RGS145;D33ETI15;71126;101,43;;;;;;
y18;ack;r2;b5;265;RGS146;D33ETI16;71150;93,01;;;;;;
y18;ack;r2;b4;236;RGS147;D33ETI17;71012;90,32;;;;;;
y18;ack;r2;b1;19;RGS148;D33ETI18;70738;88,66;;;;;;
y18;ack;r2;b2;116;RGS149;D33ETI19;70812;93,96;;;;;;
y18;ack;r2;b2;114;RGS150;D33ETI20;70820;93,56;;;;;;
y18;ack;r2;b5;241;RGS101;D33MER01;71102;87,06;;;;;;
y18;ack;r2;b3;127;RGS102;D33MER02;70914;89,32;;;;;;
y18;ack;r2;b3;130;RGS103;D33MER03;70917;89,43;;;;;;
y18;ack;r2;b4;201;RGS104;D33MER04;71040;95,13;;;;;;
y18;ack;r2;b1;14;RGS105;D33MER05;70727;98,73;;;;;;
y18;ack;r2;b5;270;RGS106;D33MER06;71155;85,84;;;;;;
y18;ack;r2;b5;294;RGS107;D33MER07;71120;86,03;;;;;;
y18;ack;r2;b4;200;RGS108;D33MER08;71039;86,94;;;;;;
y18;ack;r2;b4;222;RGS109;D33MER09;71044;97,96;;;;;;
y18;ack;r2;b5;264;RGS110;D33MER10;71143;99,14;;;;;;
y18;ack;r2;b2;68;RGS111;D33MER11;70815;90,56;;;;;;
y18;ack;r2;b4;199;RGS112;D33MER12;71038;87,11;;;;;;
y18;ack;r2;b5;276;RGS113;D33MER13;71156;85,94;;;;;;
y18;ack;r2;b2;75;RGS114;D33MER14;70828;85,30;;;;;;
y18;ack;r2;b5;250;RGS115;D33MER15;71117;104,53;;;;;;
y18;ack;r2;b3;174;RGS116;D33MER16;70920;91,15;;;;;;
y18;ack;r2;b2;74;RGS117;D33MER17;70827;88,99;;;;;;
y18;ack;r2;b3;120;RGS118;D33MER18;70808;91,25;;;;;;
y18;ack;r2;b1;31;RGS119;D33MER19;70761;81,14;;;;;;
y18;ack;r2;b4;196;RGS120;D33MER20;71029;93,47;;;;;;
y18;ack;r2;b5;277;RGS121;D33MER21;71149;99,62;;;;;;
y18;ack;r2;b1;30;RGS122;D33MER22;70755;100,27;;;;;;
y18;ack;r2;b5;291;RGS123;D33QUA01;71123;91,46;;;;;;
y18;ack;r2;b4;193;RGS124;D33QUA02;71026;88,13;;;;;;
y18;ack;r2;b5;262;RGS125;D33QUA03;71141;97,69;;;;;;
y18;ack;r2;b1;43;RGS126;D33QUA04;70737;92,77;;;;;;
y18;ack;r2;b4;235;RGS127;D33QUA05;71013;89,98;;;;;;
y18;ack;r2;b4;232;RGS128;D33QUA06;71022;84,36;;;;;;
y18;ack;r2;b2;117;RGS129;D33QUA07;70811;83,41;;;;;;
y18;ack;r2;b4;211;RGS130;D33QUA08;71061;76,60;;;;;;
y18;ack;r2;b1;11;RGS254;D37;70718;76,22;;;;;;
y18;ack;r2;b2;77;RGS254;D37;70830;70,48;;;;;;
y18;ack;r2;b3;125;RGS254;D37;70906;68,49;;;;;;
y18;ack;r2;b4;203;RGS254;D37;71042;70,39;;;;;;
y18;ack;r2;b5;269;RGS254;D37;71154;68,16;;;;;;
y18;ack;r2;b2;79;RGS188;D37OTT01;70838;80,46;;;;;;
y18;ack;r2;b4;213;RGS189;D37OTT02;71059;79,17;;;;;;
y18;ack;r2;b5;260;RGS190;D37OTT03;71139;86,32;;;;;;
y18;ack;r2;b2;82;RGS191;D37OTT04;70841;89,27;;;;;;
y18;ack;r2;b1;39;RGS192;D37OTT05;70747;81,71;;;;;;
y18;ack;r2;b5;247;RGS193;D37OTT06;71114;96,44;;;;;;
y18;ack;r2;b1;37;RGS194;D37OTT07;70749;94,10;;;;;;
y18;ack;r2;b4;192;RGS195;D37OTT08;71019;84,59;;;;;;
y18;ack;r2;b3;163;RGS196;D37OTT09;70937;94,02;;;;;;
y18;ack;r2;b3;123;RGS197;D37OTT10;70904;93,77;;;;;;
y18;ack;r2;b4;187;RGS198;D37OTT11;71014;85,87;;;;;;
y18;ack;r2;b2;94;RGS199;D37OTT12;70858;73,01;;;;;;
y18;ack;r2;b5;300;RGS200;D37OTT13;71108;92,29;;;;;;
y18;ack;r2;b2;85;RGS151;D37QUA01;70850;72,80;;;;;;
y18;ack;r2;b4;223;RGS152;D37QUA02;71037;83,15;;;;;;
y18;ack;r2;b2;86;RGS153;D37QUA03;70851;81,24;;;;;;
y18;ack;r2;b2;78;RGS154;D37QUA04;70831;76,23;;;;;;
y18;ack;r2;b3;170;RGS155;D37QUA05;70924;79,11;;;;;;
y18;ack;r2;b3;128;RGS156;D37QUA06;70915;80,15;;;;;;
y18;ack;r2;b2;72;RGS157;D37QUA07;70819;88,33;;;;;;
y18;ack;r2;b3;148;RGS158;D37QUA08;70953;75,21;;;;;;
y18;ack;r2;b1;21;RGS159;D37QUA09;70740;101,99;;;;;;
y18;ack;r2;b4;190;RGS160;D37QUA10;71017;83,58;;;;;;
y18;ack;r2;b3;154;RGS161;D37QUA11;70958;86,59;;;;;;
y18;ack;r2;b3;153;RGS162;D37QUA12;70959;71,69;;;;;;
y18;ack;r2;b4;219;RGS163;D37QUA13;71047;86,51;;;;;;
y18;ack;r2;b3;142;RGS164;D37QUA14;70941;89,17;;;;;;
y18;ack;r2;b4;217;RGS165;D37QUA15;71049;83,99;;;;;;
y18;ack;r2;b5;279;RGS166;D37QUA16;71147;92,38;;;;;;
y18;ack;r2;b2;112;RGS167;D37QUA17;70822;84,14;;;;;;
y18;ack;r2;b3;178;RGS168;D37QUA18;70910;80,86;;;;;;
y18;ack;r2;b1;2;RGS169;D37QUA19;70703;79,11;;;;;;
y18;ack;r2;b2;80;RGS170;D37QUA20;70839;76,89;;;;;;
y18;ack;r2;b1;57;RGS171;D37QUA21;70711;98,53;;;;;;
y18;ack;r2;b5;252;RGS172;D37QUA22;71119;88,77;;;;;;
y18;ack;r2;b3;175;RGS173;D37QUA23;70913;97,42;;;;;;
y18;ack;r2;b5;290;RGS174;D37QUA24;71124;71,47;;;;;;
y18;ack;r2;b3;152;RGS175;D37QUA25;70960;80,82;;;;;;
y18;ack;r2;b4;234;RGS176;D37QUA26;71020;82,48;;;;;;
y18;ack;r2;b4;226;RGS177;D37QUA27;71034;78,20;;;;;;
y18;ack;r2;b1;55;RGS178;D37QUA28;70713;87,62;;;;;;
y18;ack;r2;b4;214;RGS179;D37QUA29;71058;77,52;;;;;;
y18;ack;r2;b1;46;RGS180;D37QUA30;70734;74,87;;;;;;
y18;ack;r2;b5;256;RGS181;D37QUA31;71129;89,83;;;;;;
y18;ack;r2;b4;188;RGS182;D37QUA32;71015;82,87;;;;;;
y18;ack;r2;b2;61;RGS183;D37QUA33;70802;79,89;;;;;;
y18;ack;r2;b2;91;RGS184;D37QUA34;70861;71,31;;;;;;
y18;ack;r2;b5;267;RGS185;D37QUA35;71152;78,50;;;;;;
y18;ack;r2;b4;184;RGS186;D37QUA36;71005;83,95;;;;;;
y18;ack;r2;b5;297;RGS187;D37QUA37;71111;83,66;;;;;;
y18;ack;r2;b1;29;RGS258;ETI;70754;102,05;;;;;;
y18;ack;r2;b2;65;RGS258;ETI;70806;89,88;;;;;;
y18;ack;r2;b3;131;RGS258;ETI;70918;94,15;;;;;;
y18;ack;r2;b4;197;RGS258;ETI;71030;96,68;;;;;;
y18;ack;r2;b5;263;RGS258;ETI;71142;95,16;;;;;;
y18;ack;r2;b1;53;RGS259;JEN;70721;97,71;;;;;;
y18;ack;r2;b2;107;RGS259;JEN;70833;95,01;;;;;;
y18;ack;r2;b3;179;RGS259;JEN;70909;91,44;;;;;;
y18;ack;r2;b4;221;RGS259;JEN;71045;96,46;;;;;;
y18;ack;r2;b5;275;RGS259;JEN;71157;100,33;;;;;;
y18;ack;r2;b1;41;RGS257;MER;70745;109,83;;;;;;
y18;ack;r2;b2;113;RGS257;MER;70821;95,52;;;;;;
y18;ack;r2;b3;155;RGS257;MER;70957;87,44;;;;;;
y18;ack;r2;b4;239;RGS257;MER;71009;105,21;;;;;;
y18;ack;r2;b5;287;RGS257;MER;71133;110,52;;;;;;
y18;ack;r2;b1;59;RGS255;OTT;70709;83,50;;;;;;
y18;ack;r2;b2;101;RGS255;OTT;70845;92,86;;;;;;
y18;ack;r2;b3;167;RGS255;OTT;70933;91,65;;;;;;
y18;ack;r2;b4;215;RGS255;OTT;71057;85,78;;;;;;
y18;ack;r2;b5;293;RGS255;OTT;71121;100,83;;;;;;
y18;ack;r2;b1;5;RGS260;QUA;70706;82,36;;;;;;
y18;ack;r2;b2;83;RGS260;QUA;70842;90,61;;;;;;
y18;ack;r2;b3;137;RGS260;QUA;70930;83,73;;;;;;
y18;ack;r2;b4;209;RGS260;QUA;71054;80,23;;;;;;
y18;ack;r2;;251;RGS260;QUA;71118;98,90;;;;;;
;;;b5;;;;;;;;;;;
