year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HL;HLG;Fraktion;TKM;pltb;MT;ZR;NF;RH;HB
y17;bre;b2;90;RGS224;ANTQUA08;ANTQUA08;83,34333333;2;1;65,8;92,5;44,76;590;2;3;1;1;6
y17;bre;b3;152;RGS225;ANTQUA09;ANTQUA09;85,35166667;1;3;63,4;78,4;40,71;652;4;3;1;1;5
y17;bre;b1;22;RGS226;ANTQUA10;ANTQUA10;90,74833333;1;1;64,8;92,3;45,07;522;3;4;1;1;5
y17;bre;b1;54;RGS227;ANTQUA11;ANTQUA11;86,10666667;1;2;64,0;93,6;47,92;554;2;4;4;1;8
y17;bre;b2;87;RGS228;ANTQUA12;ANTQUA12;81,385;1;3;63,7;87,8;43,61;587;3;3;1;1;6
y17;bre;b3;140;RGS229;ANTETI01;ANTETI01;80,50833333;1;2;65,2;83,4;40,18;640;4;3;1;1;7
y17;bre;b4;220;RGS230;ANTETI02;ANTETI02;78,55166667;1;2;64,6;67,4;39,03;720;6;5;1;1;9
y17;bre;b1;1;RGS231;ANTETI03;ANTETI03;84,78;1;3;65,4;85,8;40,91;501;5;6;1;1;7
y17;bre;b2;78;RGS232;ANTETI04;ANTETI04;84,40833333;1;3;65,2;91;40,78;578;4;2;1;1;7
y17;bre;b2;97;RGS233;ANTETI05;ANTETI05;69,515;1;4;62,3;79,8;36,26;597;6;3;3;1;8
y17;bre;b5;267;RGS234;ANTETI06;ANTETI06;84,76666667;1;2;64,0;83,1;40,76;767;2;4;1;1;7
y17;bre;b2;91;RGS235;ANTETI07;ANTETI07;69,71166667;1;4;61,6;84,8;37,76;591;6;3;1;1;6
y17;bre;b2;99;RGS236;ANTETI08;ANTETI08;76,29166667;1;1;64,4;85,2;39,22;599;3;3;1;1;9
y17;bre;b3;178;RGS237;ANTETI09;ANTETI09;79,295;1;2;64,4;73,5;37,40;678;4;2;1;1;8
y17;bre;b2;117;RGS238;ANTETI10;ANTETI10;80,43933333;1;3;63,0;73,6;36,63;617;5;5;1;1;8
y17;bre;b5;300;RGS239;ANTETI11;ANTETI11;84,548;1;2;63,1;82,3;38,11;800;3;3;1;1;7
y17;bre;b1;27;RGS240;ANTETI12;ANTETI12;78,90666667;1;5;66,2;79,8;35,60;527;2;4;1;1;7
y17;bre;b3;135;RGS241;ANTETI13;ANTETI13;87,30166667;1;2;66,4;92,8;43,27;635;2;3;1;1;6
y17;bre;b3;174;RGS242;ANTETI14;ANTETI14;85,205;1;2;65,6;85,3;39,75;674;5;6;1;1;8
y17;bre;b1;9;RGS243;ANTETI15;ANTETI15;82,964;1;2;64,6;84,7;39,46;509;2;4;1;1;7
y17;bre;b3;134;RGS244;ANTETI16;ANTETI16;73,05666667;1;3;65,3;80,8;40,65;634;5;3;1;1;9
y17;bre;b3;138;RGS245;ANTETI17;ANTETI17;82,96;1;2;66,5;95,1;43,01;638;3;4;1;1;7
y17;bre;b2;80;RGS246;ANTETI18;MER;88,89666667;NA;NA;NA;NA;NA;580;3;4;1;1;6
y17;bre;b5;291;RGS247;ANTOTT01;ANTOTT01;84,87833333;1;3;63,9;84,2;40,80;791;4;4;1;1;7
y17;bre;b1;14;RGS248;ANTOTT02;ANTOTT02;78,594;1;2;63,1;88,7;42,66;514;4;4;1;1;9
y17;bre;b1;31;RGS249;ANTOTT03;ANTOTT03;83,60833333;1;2;61,7;77,2;38,46;531;4;3;1;1;7
y17;bre;b4;184;RGS250;ANTOTT04;ANTOTT04;82,48166667;1;3;63,8;88,9;43,65;684;6;5;1;1;9
y17;bre;b1;59;RGS251;101;101;NA;NA;NA;NA;NA;NA;559;NA;NA;NA;NA;NA
y17;bre;b2;101;RGS251;101;101;NA;NA;NA;NA;NA;NA;601;4;7;1;1;9
y17;bre;b3;173;RGS251;101;101;67,68666667;1;4;65,1;37,4;37,14;673;4;7;1;1;6
y17;bre;b4;215;RGS251;101;101;71,175;1;5;63,8;30,8;37,11;715;5;7;1;1;9
y17;bre;b5;287;RGS251;101;101;71,27;1;4;62,2;24,1;37,46;787;4;7;1;1;8
y17;bre;b1;23;RGS252;146;146;69,99833333;2;7;69,7;68,6;37,47;523;4;6;1;1;8
y17;bre;b2;89;RGS252;146;146;69,76;2;8;67,0;49;41,12;589;NA;NA;NA;NA;NA
y17;bre;b3;137;RGS252;146;146;73,91666667;3;7;66,3;47;41,75;637;4;6;1;1;7
y17;bre;b4;191;RGS252;146;MER;90,275;NA;NA;NA;NA;NA;691;4;4;1;1;7
y17;bre;b5;245;RGS252;146;MER;87,34333333;NA;NA;NA;NA;NA;745;5;4;1;1;7
y17;bre;b1;35;RGS253;D33;D33;77,70833333;2;6;66,9;84,1;40,63;535;9;6;1;1;9
y17;bre;b2;113;RGS253;D33;D33;70,53666667;1;2;65,8;82,1;39,94;613;8;6;1;1;8
y17;bre;b3;179;RGS253;D33;D33;63,83833333;2;3;66,3;83,4;40,83;679;8;7;1;1;8
y17;bre;b4;227;RGS253;D33;D33;73,63666667;1;3;66,7;82,9;40,31;727;9;7;1;1;6
y17;bre;b5;281;RGS253;D33;MER;93,06166667;NA;NA;NA;NA;NA;781;8;6;1;1;8
y17;bre;b1;11;RGS254;D37;D37;88,23333333;8;9;62,2;79,2;43,37;511;5;7;1;1;9
y17;bre;b2;77;RGS254;D37;D37;67,00333333;8;9;63,3;76;42,81;577;3;3;1;1;9
y17;bre;b3;143;RGS254;D37;D37;76,689;8;8;62,3;76;42,49;643;5;5;1;1;9
y17;bre;b4;185;RGS254;D37;D37;67,23166667;7;7;62,9;77,9;42,49;685;3;7;1;1;9
y17;bre;b5;269;RGS254;D37;D37;63,92333333;8;8;62,3;73,2;41,62;769;;;;;
y17;bre;b1;47;RGS255;OTT;OTT;84,469;1;2;63,3;81,4;41,62;547;6;3;1;1;7
y17;bre;b2;119;RGS255;OTT;OTT;82,42166667;1;2;63,6;81;41,62;619;5;3;1;1;7
y17;bre;b3;155;RGS255;OTT;OTT;81,61166667;1;3;62,3;76,4;40,44;655;6;3;1;1;7
y17;bre;b4;221;RGS255;OTT;OTT;80,71066667;1;4;64,8;79,1;39,62;721;6;4;1;1;6
y17;bre;b5;293;RGS255;OTT;OTT;83,95666667;1;5;62,5;72,9;40,71;793;4;3;1;1;8
y17;bre;b1;5;RGS256;ANT;ANT;87,88833333;1;2;64,2;89,5;42,51;505;2;4;1;1;7
y17;bre;b2;83;RGS256;ANT;ANT;83,028;1;2;63,8;90,7;43,24;583;2;3;1;1;7
y17;bre;b3;131;RGS256;ANT;ANT;85,686;1;2;63,0;92,1;43,34;631;2;3;1;1;7
y17;bre;b4;209;RGS256;ANT;ANT;82;1;3;64,0;85,2;40,96;709;2;4;1;1;7
y17;bre;b5;257;RGS256;ANT;ANT;82,94166667;1;2;63,4;89;44,67;757;2;4;1;1;7
y17;bre;b1;41;RGS257;MER;MER;90,03333333;1;1;64,8;92;43,08;541;5;4;1;1;7
y17;bre;b2;95;RGS257;MER;MER;84,82;1;1;64,5;92,9;43,65;595;4;4;1;1;7
y17;bre;b3;167;RGS257;MER;MER;85,245;1;1;65,6;91,8;44,71;667;4;4;1;1;7
y17;bre;b4;233;RGS257;MER;MER;95,59166667;1;1;66,4;91,8;43,30;733;5;4;1;1;6
y17;bre;b5;299;RGS257;MER;MER;92,43333333;1;1;65,2;93;45,34;799;5;4;1;1;7
y17;bre;b1;29;RGS258;ETI;ETI;86,11066667;1;2;64,6;81,6;38,58;529;4;3;1;1;7
y17;bre;b2;71;RGS258;ETI;ETI;78,25666667;1;2;65,0;85,9;39,20;571;4;3;1;1;7
y17;bre;b3;125;RGS258;ETI;ETI;80,51333333;1;3;65,1;82,4;40,30;625;4;3;1;1;9
y17;bre;b4;197;RGS258;ETI;ETI;81,83666667;1;3;65,6;75,8;37,70;697;4;3;1;1;7
y17;bre;b5;263;RGS258;ETI;ETI;78,41833333;1;2;65,5;78,4;39,95;763;4;4;1;1;7
y17;bre;b1;53;RGS259;JEN;JEN;84,13666667;1;1;64,8;84,5;40,39;553;4;3;1;1;5
y17;bre;b2;107;RGS259;JEN;JEN;84,84166667;1;1;63,8;70,7;39,80;607;3;2;1;1;5
y17;bre;b3;161;RGS259;JEN;JEN;86,47666667;1;2;64,3;71,4;39,33;661;3;3;1;1;4
y17;bre;b4;239;RGS259;JEN;JEN;88,35666667;1;2;65,5;73,2;38,30;739;3;3;1;1;5
y17;bre;b5;275;RGS259;JEN;JEN;91,49;1;2;63,1;77;39,94;775;4;3;1;1;6
y17;bre;b1;17;RGS260;QUA;QUA;92,86066667;1;1;68,0;88,8;46,69;517;4;6;1;1;6
y17;bre;b2;65;RGS260;QUA;QUA;88,74166667;1;2;68,2;93,3;46,27;565;3;5;1;1;7
y17;bre;b3;149;RGS260;QUA;QUA;95,705;1;2;66,9;81,5;45,00;649;3;4;3;1;6
y17;bre;b4;203;RGS260;QUA;QUA;87,78333333;1;2;67,0;79,3;44,22;703;2;4;3;1;6
y17;bre;b5;251;RGS260;QUA;QUA;91,14;1;3;66,6;80,9;45,00;751;3;4;1;1;6
