year;loc;blk;plt;pgl;genPlan;gen;yld;HLG;Fraktion;TKM;MT;ZR
y17;wvb;b5;282;RGS221;ANTQUA05;ANTQUA05;80;62,3;70,7;38,5;3;2
y17;wvb;b5;283;RGS217;ANTQUA01;ANTQUA01;114,7826087;61,7;66,1;38;2;4
y17;wvb;b5;284;RGS100;146OTT10;146OTT10;110,7246377;61,2;20,9;26;1;1
y17;wvb;b5;285;RGS219;ANTQUA03;ANTQUA03;105,5072464;62,6;79,2;40,1;1;1
y17;wvb;b5;286;RGS034;101ETI02;101ETI02;81,44927536;54,1;15,6;22;3;5
y17;wvb;b5;287;RGS255;OTT;OTT;101,4492754;60,2;52,2;33,4;1;1
y17;wvb;b5;288;RGS198;D37OTT11;D37OTT11;92,17391304;65,9;79,4;43,7;1;4
y17;wvb;b5;289;RGS082;146ETI05;146ETI05;104,9275362;62,5;38,1;27,1;2;4
y17;wvb;b5;290;RGS099;146OTT09;146OTT09;65,50724638;57,8;17,1;26;4;4
y17;wvb;b5;291;RGS250;ANTOTT04;ANTOTT04;105,5072464;61,5;69;36,5;3;4
y17;wvb;b5;292;RGS053;146MER03;146MER03;74,7826087;62;52,8;34,9;1;5
y17;wvb;b5;293;RGS259;JEN;JEN;73,04347826;60,2;32,8;32,3;1;3
y17;wvb;b5;294;RGS077;146JEN07;MER;82,60869565;67,5;86,9;42;2;3
y17;wvb;b5;295;RGS207;ANTMER07;ANTMER07;93,62318841;63,1;80,2;36,7;1;3
y17;wvb;b5;296;RGS136;D33ETI06;D33ETI06;73,33333333;63;67,4;36,3;6;4
y17;wvb;b5;297;RGS158;D37QUA08;D37QUA08;74,7826087;60,7;58,5;34,6;4;4
y17;wvb;b5;298;RGS211;ANTMER11;ANTMER11;48,69565217;63,2;78,2;39,6;1;3
y17;wvb;b5;299;RGS253;D33;MER;52,75362319;64,4;75,3;38,3;9;6
y17;wvb;b5;300;RGS005;101MER05;101MER05;60,28985507;54,9;28,6;28,2;4;2
