year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HLG;pltb;MT;ZR;NF;RAM;RH
y17;ack;b5;445;RGS062;146QUA02;146QUA02;92,74296206;4;57,27;404;1;2;1;2;5
y17;ack;b4;345;RGS063;146QUA03;146QUA03;95,99755202;8;59,5;344;1;1;5;1;3
y17;ack;b2;151;RGS064;146QUA04;146QUA04;81,46919625;1;54,05;211;2;2;1;1;2
y17;ack;b5;437;RGS065;146QUA05;146QUA05;99,27319461;2;65,45;383;1;1;2;2;1
y17;ack;b5;409;RGS066;146QUA06;146QUA06;100,1615667;1;70;422;1;1;3;3;1
y17;ack;b2;124;RGS067;146QUA07;146QUA07;110,1868625;8;64,5;233;1;1;2;3;1
y17;ack;b5;457;RGS068;146QUA08;146QUA08;62,60214198;8;53,18;398;2;4;2;1;1
y17;ack;b1;33;RGS069;146QUA09;146QUA09;91,62015504;7;69,09;170;1;1;4;2;1
y17;ack;b4;337;RGS070;146QUA10;146QUA10;91,79302326;5;59,95;323;1;1;1;1;8
y17;ack;b4;339;RGS071;146JEN01;MER;109,8470012;1;64,09;325;2;3;1;2;3
y17;ack;b1;42;RGS072;146JEN02;146JEN02;85,43818849;2;65;148;5;1;1;1;8
y17;ack;b1;30;RGS073;146JEN03;146JEN03;91,66891065;1;64,05;142;1;3;1;1;3
y17;ack;b3;245;RGS074;146JEN04;MER;89,94100367;1;63,64;284;9;1;1;3;8
y17;ack;b5;431;RGS075;146JEN05;146JEN05;98,58139535;2;63,18;412;1;4;1;1;2
y17;ack;b5;412;RGS076;146JEN06;146JEN06;90,84485924;7;62,27;419;1;3;1;3;1
y17;ack;b4;322;RGS077;146JEN07;146JEN07;104,871481;2;71,36;355;5;2;2;1;7
y17;ack;b5;455;RGS078;146ETI01;146ETI01;91,66958384;1;63,14;400;9;2;1;2;1
y17;ack;b5;421;RGS079;146ETI02;146ETI02;91,59510404;1;64,09;416;1;4;4;1;1
y17;ack;b3;240;RGS080;146ETI03;146ETI03;94,97715218;2;65,86;266;1;4;1;3;1
y17;ack;b1;38;RGS081;146ETI04;146ETI04;87,81354549;9;57,73;144;1;3;1;3;9
y17;ack;b4;331;RGS082;146ETI05;146ETI05;87,01754386;1;67,68;352;1;3;1;1;8
y17;ack;b1;12;RGS083;146ETI06;146ETI06;98,29388005;6;66,32;179;3;3;1;1;5
y17;ack;b2;142;RGS084;146ETI07;146ETI07;77,06144431;1;63,64;208;1;1;1;1;9
y17;ack;b4;340;RGS085;146ETI08;146ETI08;91,77054264;1;64,55;326;1;3;1;1;6
y17;ack;b2;101;RGS086;146ETI09;146ETI09;92,76621787;9;63,59;185;1;2;1;1;3
y17;ack;b2;150;RGS087;146ETI10;146ETI10;82,11591187;9;54,5;210;2;5;1;1;2
y17;ack;b4;354;RGS088;146ETI12;146ETI12;98,8495308;1;57,73;334;2;4;1;1;1
y17;ack;b3;212;RGS089;146ETI13;146ETI13;91,69549164;5;67,23;299;9;1;2;1;4
y17;ack;b5;416;RGS090;146ETI14;146ETI14;104,7840881;1;62,27;374;3;5;1;1;1
y17;ack;b5;414;RGS091;146OTT01;146OTT01;86,4127907;1;59,05;372;2;4;1;1;3
y17;ack;b1;28;RGS092;146OTT02;146OTT02;101,3572827;3;53,14;140;1;5;1;1;1
y17;ack;b3;233;RGS093;146OTT03;146OTT03;93,07992656;1;63,14;290;1;2;1;1;1
y17;ack;b2;133;RGS094;146OTT04;146OTT04;96,83133415;6;58,18;230;9;4;1;1;1
y17;ack;b4;352;RGS095;146OTT05;146OTT05;87,97882497;4;61,36;332;3;1;1;1;8
y17;ack;b5;428;RGS096;146OTT06;146OTT06;91,65140759;1;62,73;380;1;2;3;1;3
y17;ack;b4;323;RGS097;146OTT07;146OTT07;104,1925337;3;60;354;2;4;1;1;1
y17;ack;b2;159;RGS098;146OTT08;146OTT08;80,28584251;7;55,86;216;1;1;2;1;1
y17;ack;b3;224;RGS099;146OTT09;146OTT09;87,88206854;3;56,82;293;2;3;2;3;1
y17;ack;b1;37;RGS100;146OTT10;146OTT10;91,98653611;1;63,18;143;1;1;1;3;5
y17;ack;b5;401;RGS101;D33MER01;D33MER01;62,70736434;5;61,77;365;3;1;1;1;9
y17;ack;b2;152;RGS102;D33MER02;MER;81,99367605;1;59,09;212;1;1;1;1;9
y17;ack;b4;348;RGS103;D33MER03;D33MER03;103,5515912;5;63,18;341;1;1;1;1;9
y17;ack;b2;106;RGS104;D33MER04;D33MER04;82,1622807;5;63,64;190;2;1;2;2;1
y17;ack;b3;213;RGS105;D33MER05;D33MER05;97,4630763;5;60;251;3;5;1;1;6
y17;ack;b5;404;RGS106;D33MER06;D33MER06;78,57674419;3;58,14;368;2;3;1;4;1
y17;ack;b4;301;RGS107;D33MER07;D33MER07;87,95658915;4;61,82;305;8;1;1;1;7
y17;ack;b3;209;RGS108;D33MER08;MER;97,18168095;2;65,45;302;9;1;1;1;9
y17;ack;b5;451;RGS109;D33MER09;D33MER09;83,32925337;4;59,05;391;8;1;3;4;1
y17;ack;b5;440;RGS110;D33MER10;D33MER10;93,35740514;8;60,86;386;4;1;3;2;1
y17;ack;b4;343;RGS111;D33MER11;MER;104,6446348;1;60,86;346;9;1;1;1;9
y17;ack;b5;418;RGS112;D33MER12;D33MER12;74,84324765;8;60,45;376;7;1;1;2;2
y17;ack;b1;14;RGS113;D33MER13;D33MER13;69,48502652;7;61,82;132;6;7;1;1;1
y17;ack;b2;116;RGS114;D33MER14;D33MER14;94,19492044;1;62,27;194;1;1;1;1;9
y17;ack;b1;60;RGS115;D33MER15;D33MER15;101,4987964;1;64,05;155;2;7;1;1;1
y17;ack;b2;136;RGS116;D33MER16;D33MER16;80,70683395;8;59,09;227;1;5;1;1;3
y17;ack;b1;39;RGS117;D33MER17;MER;103,8860465;2;63,59;145;2;2;1;1;8
y17;ack;b1;16;RGS118;D33MER18;D33MER18;70,84422685;4;55,86;134;7;7;1;3;1
y17;ack;b3;255;RGS119;D33MER19;D33MER19;82,54871481;6;54,55;280;1;1;2;1;5
y17;ack;b4;321;RGS120;D33MER20;D33MER20;93,40738474;6;64,5;356;5;4;5;1;1
y17;ack;b3;259;RGS121;D33MER21;D33MER21;106,621787;2;64,09;276;3;5;1;1;2
y17;ack;b2;154;RGS122;D33MER22;D33MER22;105,3020808;5;63,14;214;4;1;2;3;4
y17;ack;b1;27;RGS123;D33QUA01;D33QUA01;79,75291718;1;63,59;139;1;3;1;6;4
y17;ack;b3;251;RGS124;D33QUA02;D33QUA02;87,63922889;7;62,23;271;1;2;1;1;1
y17;ack;b4;350;RGS125;D33QUA03;D33QUA03;91,19302326;4;60,45;330;9;1;1;4;1
y17;ack;b3;222;RGS126;D33QUA04;MER;107,449694;8;60,45;295;3;3;1;2;3
y17;ack;b5;435;RGS127;D33QUA05;D33QUA05;77,8745002;5;56,82;408;6;1;1;1;9
y17;ack;b1;26;RGS128;D33QUA06;D33QUA06;64,91407589;1;61,77;138;9;3;1;3;1
y17;ack;b3;228;RGS129;D33QUA07;MER;101,1912689;9;62,68;260;1;4;1;1;3
y17;ack;b1;34;RGS130;D33QUA08;D33QUA08;89,38433293;1;63,18;169;4;3;1;1;7
y17;ack;b3;206;RGS131;D33ETI01;D33ETI01;94,84190126;4;65,91;250;4;3;1;1;5
y17;ack;b4;357;RGS132;D33ETI02;D33ETI02;106,1838025;1;62,68;338;7;1;1;3;7
y17;ack;b2;138;RGS133;D33ETI03;D33ETI03;94,8002448;9;60,86;204;1;1;1;1;8
y17;ack;b3;248;RGS134;D33ETI04;D33ETI04;113,3433089;1;60;281;1;1;1;1;9
y17;ack;b2;119;RGS135;D33ETI05;D33ETI05;85,0747858;1;61,82;238;1;3;1;2;8
y17;ack;b1;55;RGS136;D33ETI06;MER;96,76638107;1;61,82;160;9;3;1;1;4
y17;ack;b3;238;RGS137;D33ETI07;D33ETI07;62,04749082;2;55,86;264;9;3;1;1;9
y17;ack;b1;19;RGS138;D33ETI08;MER;94,12221542;1;61,77;178;1;1;1;1;8
y17;ack;b3;215;RGS139;D33ETI09;D33ETI09;86,36160751;3;67,23;253;9;1;1;1;7
y17;ack;b2;111;RGS140;D33ETI10;D33ETI10;113,3219094;7;64,5;240;1;2;1;1;7
y17;ack;b3;203;RGS141;D33ETI11;D33ETI11;105,1036312;3;62,27;247;5;1;2;1;5
y17;ack;b2;157;RGS142;D33ETI12;MER;97,30183599;1;58,64;218;1;1;1;1;9
y17;ack;b1;7;RGS143;D33ETI13;D33ETI13;117,473725;1;64,5;184;1;1;1;3;8
y17;ack;b3;227;RGS144;D33ETI14;MER;92,44010608;5;65,41;259;7;1;1;1;9
y17;ack;b1;58;RGS145;D33ETI15;D33ETI15;107,2496124;1;63,64;157;1;1;1;1;9
y17;ack;b4;355;RGS146;D33ETI16;D33ETI16;84,88351693;1;60;340;9;1;1;1;8
y17;ack;b5;449;RGS147;D33ETI17;D33ETI17;85,65458996;3;59,5;389;7;1;1;1;9
y17;ack;b1;47;RGS148;D33ETI18;MER;112,9596083;3;63,18;162;1;1;1;1;9
y17;ack;b4;309;RGS149;D33ETI19;D33ETI19;88,11995104;1;61,82;362;1;1;1;5;2
y17;ack;b3;247;RGS150;D33ETI20;D33ETI20;110,644798;2;65;282;1;1;1;1;9
y17;ack;b3;243;RGS151;D37QUA01;D37QUA01;96,48123215;9;62,68;286;1;1;1;1;1
y17;ack;b4;346;RGS152;D37QUA02;D37QUA02;74,88176255;8;55,91;343;5;4;1;1;4
y17;ack;b1;2;RGS153;D37QUA03;D37QUA03;72,90269278;8;56,32;126;1;1;1;1;8
y17;ack;b1;13;RGS154;D37QUA04;D37QUA04;73,8252958;4;63,18;131;1;7;3;1;1
y17;ack;b1;18;RGS155;D37QUA05;D37QUA05;81,30385557;7;58,64;136;1;1;2;1;1
y17;ack;b5;459;RGS156;D37QUA06;MER;105,4387597;1;61,82;396;3;1;2;1;1
y17;ack;b2;115;RGS157;D37QUA07;D37QUA07;76,39339045;5;57,73;193;1;7;1;1;4
y17;ack;b3;226;RGS158;D37QUA08;D37QUA08;88,55148919;1;58,14;258;1;1;2;3;1
y17;ack;b2;143;RGS159;D37QUA09;D37QUA09;92,95809874;1;66,32;226;1;1;1;3;1
y17;ack;b4;330;RGS160;D37QUA10;D37QUA10;79,51019992;1;59,55;322;6;4;2;1;2
y17;ack;b3;252;RGS161;D37QUA11;MER;93,6995104;6;60,86;272;1;2;1;2;1
y17;ack;b3;235;RGS162;D37QUA12;D37QUA12;83,93013056;5;56,32;288;1;3;1;1;3
y17;ack;b4;336;RGS163;D37QUA13;D37QUA13;84,87649939;5;55,45;347;3;3;2;1;3
y17;ack;b3;237;RGS164;D37QUA14;D37QUA14;90,50342717;9;63,14;263;1;6;1;1;2
y17;ack;b5;411;RGS165;D37QUA15;D37QUA15;90,61776826;8;62,23;420;1;7;1;1;4
y17;ack;b2;104;RGS166;D37QUA16;D37QUA16;102,9265606;7;63,64;188;1;1;3;2;1
y17;ack;b2;114;RGS167;D37QUA17;MER;101,2162995;4;64,95;192;1;3;1;1;2
y17;ack;b4;358;RGS168;D37QUA18;D37QUA18;90,24235006;1;60,91;337;9;4;1;1;1
y17;ack;b2;139;RGS169;D37QUA19;D37QUA19;91,49473684;6;58,18;205;1;2;2;2;1
y17;ack;b2;158;RGS170;D37QUA20;D37QUA20;89,65465116;5;55,86;217;1;1;1;3;5
y17;ack;b3;207;RGS171;D37QUA21;D37QUA21;73,33937169;8;60,91;304;4;7;1;1;1
y17;ack;b5;458;RGS172;D37QUA22;MER;98,15116279;1;61,82;397;1;1;2;3;1
y17;ack;b2;123;RGS173;D37QUA23;D37QUA23;112,3226438;1;63,18;234;1;1;2;2;1
y17;ack;b5;433;RGS174;D37QUA24;D37QUA24;79,93488372;8;62,68;410;1;1;1;3;1
y17;ack;b2;103;RGS175;D37QUA25;MER;115,2037944;8;64,09;187;1;2;1;3;1
y17;ack;b5;434;RGS176;D37QUA26;D37QUA26;76,53512852;8;53,64;409;2;3;1;3;4
y17;ack;b4;351;RGS177;D37QUA27;D37QUA27;83,16829865;8;58,64;331;1;1;1;5;7
y17;ack;b4;302;RGS178;D37QUA28;D37QUA28;88,7500612;4;57,27;306;3;5;1;1;1
y17;ack;b1;23;RGS179;D37QUA29;D37QUA29;86,65514076;1;62,27;174;1;3;1;1;1
y17;ack;b4;304;RGS180;D37QUA30;D37QUA30;91,48221134;7;57,73;308;1;1;2;3;4
y17;ack;b2;134;RGS181;D37QUA31;D37QUA31;97,67188902;1;63,18;229;1;3;3;2;2
y17;ack;b5;406;RGS182;D37QUA32;D37QUA32;83,67270502;3;65;370;2;3;1;1;2
y17;ack;b1;43;RGS183;D37QUA33;D37QUA33;89,225561;4;65,86;166;1;1;1;1;9
y17;ack;b4;359;RGS184;D37QUA34;D37QUA34;105,7525704;1;61,36;336;4;5;1;1;1
y17;ack;b1;45;RGS185;D37QUA35;MER;104,2641371;1;59,55;164;1;4;1;2;2
y17;ack;b1;59;RGS186;D37QUA36;D37QUA36;96,65542636;2;61,32;156;3;6;1;4;1
y17;ack;b5;426;RGS187;D37QUA37;D37QUA37;70,21313749;5;57,27;378;1;1;1;1;9
y17;ack;b2;102;RGS188;D37OTT01;D37OTT01;79,26081191;5;53,59;186;1;4;1;1;3
y17;ack;b1;57;RGS189;D37OTT02;D37OTT02;98,2243982;1;62,68;158;4;3;1;1;5
y17;ack;b3;223;RGS190;D37OTT03;D37OTT03;90,75899633;9;57,68;294;1;1;1;1;2
y17;ack;b2;140;RGS191;D37OTT04;D37OTT04;96,90966952;9;59,95;206;7;1;1;1;2
y17;ack;b2;118;RGS192;D37OTT05;D37OTT05;76,8249694;3;61,36;196;3;1;1;1;1
y17;ack;b4;319;RGS193;D37OTT06;D37OTT06;91,30477356;8;54,95;358;8;3;1;1;3
y17;ack;b5;423;RGS194;D37OTT07;MER;94,25846593;1;64,09;414;9;1;1;1;1
y17;ack;b4;327;RGS195;D37OTT08;D37OTT08;105,5986944;4;61,32;319;9;1;1;1;9
y17;ack;b5;439;RGS196;D37OTT09;D37OTT09;97,55475316;5;64,09;385;3;3;1;1;2
y17;ack;b4;310;RGS197;D37OTT10;D37OTT10;96,32292942;1;59,05;361;6;2;1;3;6
y17;ack;b5;424;RGS198;D37OTT11;MER;98,88435333;1;63,18;413;1;1;4;3;3
y17;ack;b4;306;RGS199;D37OTT12;MER;104,2629131;2;63,18;310;8;7;1;1;7
y17;ack;b3;257;RGS200;D37OTT13;D37OTT13;86,40330477;1;56,36;278;4;2;1;1;2
y17;ack;b1;22;RGS201;ANTMER01;ANTMER01;97,92378621;1;59,5;175;1;2;1;2;1
y17;ack;b3;218;RGS202;ANTMER02;ANTMER02;109,6202366;1;63,14;256;1;1;1;2;3
y17;ack;b5;446;RGS203;ANTMER03;ANTMER03;91,49932681;1;63,14;403;1;3;2;1;1
y17;ack;b2;148;RGS204;ANTMER04;ANTMER04;101,2290494;4;61,32;221;1;1;1;1;5
y17;ack;b4;311;RGS205;ANTMER05;ANTMER05;120,3896165;1;59,5;360;1;2;1;3;1
y17;ack;b4;324;RGS206;ANTMER06;ANTMER06;112,8408813;1;58,64;353;1;2;2;1;4
y17;ack;b2;146;RGS207;ANTMER07;ANTMER07;95,29638923;4;64,5;223;1;2;1;2;1
y17;ack;b1;4;RGS208;ANTMER08;ANTMER08;113,2347613;2;59,09;128;1;1;1;2;1
y17;ack;b3;239;RGS209;ANTMER09;ANTMER09;109,1618727;2;66,82;265;1;5;1;1;1
y17;ack;b1;10;RGS210;ANTMER10;ANTMER10;106,0511628;1;64,5;181;1;1;1;1;2
y17;ack;b1;35;RGS211;ANTMER11;ANTMER11;100,9588127;1;60,45;168;1;1;4;1;1
y17;ack;b5;448;RGS212;ANTMER12;ANTMER12;111,6540188;1;63,18;401;1;3;1;1;2
y17;ack;b2;121;RGS213;ANTMER13;ANTMER13;104,6416769;1;62,27;236;1;1;3;1;4
y17;ack;b4;333;RGS214;ANTMER14;ANTMER14;107,4501224;1;59,05;350;2;1;1;3;1
y17;ack;b3;214;RGS215;ANTMER15;ANTMER15;83,33604651;6;61,77;252;1;1;2;1;3
y17;ack;b5;436;RGS216;ANTMER16;ANTMER16;105,5930641;1;60,45;407;1;1;1;3;2
y17;ack;b2;149;RGS217;ANTQUA01;ANTQUA01;115,9562424;9;60,45;209;1;3;1;2;3
y17;ack;b1;6;RGS218;ANTQUA02;ANTQUA02;117,0928193;1;64,5;130;1;1;2;2;1
y17;ack;b2;110;RGS219;ANTQUA03;ANTQUA03;108,6381069;2;58,64;241;1;2;2;1;1
y17;ack;b3;225;RGS220;ANTQUA04;ANTQUA04;105,9296614;5;59,5;257;1;1;2;2;2
y17;ack;b1;51;RGS221;ANTQUA05;ANTQUA05;98,41835985;1;60,86;151;1;1;1;3;1
y17;ack;b5;403;RGS222;ANTQUA06;ANTQUA06;104,1369237;1;63,18;367;1;1;1;2;1
y17;ack;b3;201;RGS223;ANTQUA07;ANTQUA07;126,6852305;1;63,59;245;1;1;4;3;1
y17;ack;b4;338;RGS224;ANTQUA08;ANTQUA08;102,0428397;1;61,32;324;1;1;1;2;2
y17;ack;b5;454;RGS225;ANTQUA09;ANTQUA09;100,255508;1;63,14;394;8;1;1;1;1
