year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HLG;pltb;MT;ZR;NF;RAM;RH
y17;ack;b2;141;RGS254;D37;D37;70,59033048;8;57,68;207;1;1;1;1;9
y17;ack;b3;229;RGS254;D37;D37;73,26848225;9;57,73;261;1;4;2;2;3
y17;ack;b4;305;RGS254;D37;D37;59,11187271;9;56,82;309;1;1;1;1;9
y17;ack;b5;417;RGS254;D37;D37;72,13084455;8;56,77;375;1;1;3;1;2
y17;ack;b1;20;RGS255;OTT;OTT;110,2769686;1;62,68;177;1;1;1;2;1
y17;ack;b2;132;RGS255;OTT;OTT;120,621787;4;61,82;231;6;1;1;4;1
y17;ack;b3;256;RGS255;OTT;OTT;106,4186047;4;61,32;279;1;2;1;2;1
y17;ack;b4;344;RGS255;OTT;OTT;120,7395349;1;61,32;345;1;1;2;2;1
y17;ack;b5;408;RGS255;OTT;OTT;111,3713586;1;63,64;423;1;1;1;4;1
y17;ack;b1;5;RGS256;ANT;ANT;110,8053856;1;61,36;129;1;1;1;2;2
y17;ack;b2;153;RGS256;ANT;ANT;104,7450836;1;62,27;213;1;1;1;2;1
y17;ack;b3;217;RGS256;ANT;ANT;111,3537332;1;64,09;255;1;2;1;1;2
y17;ack;b4;329;RGS256;ANT;ANT;95,79290086;1;64,5;321;1;1;1;3;1
y17;ack;b5;441;RGS256;ANT;ANT;98,91742146;2;65,91;387;1;1;2;3;1
y17;ack;b1;44;RGS257;MER;MER;96,31170951;1;61,82;165;1;4;1;1;5
y17;ack;b2;120;RGS257;MER;MER;96,07637699;1;63,59;237;1;3;1;2;1
y17;ack;b3;208;RGS257;MER;MER;89,94451244;4;60,91;303;3;2;3;1;1
y17;ack;b4;356;RGS257;MER;MER;110,9866585;1;61,32;339;1;1;2;1;2
y17;ack;b5;432;RGS257;MER;MER;91,92068543;1;63,18;411;1;1;2;1;4
y17;ack;b1;29;RGS258;ETI;ETI;103,6853733;1;65,91;141;3;1;1;6;1
y17;ack;b2;105;RGS258;ETI;ETI;106,4570379;7;65,91;189;1;1;1;3;5
y17;ack;b3;241;RGS258;ETI;ETI;113,5034068;1;68,18;267;1;4;1;1;3
y17;ack;b4;317;RGS258;ETI;ETI;111,0526316;1;66,32;315;2;1;2;3;3
y17;ack;b5;453;RGS258;ETI;ETI;97,79069767;1;65;393;3;1;1;3;3
y17;ack;b1;56;RGS259;JEN;JEN;105,2147083;1;60,45;159;1;2;2;3;3
y17;ack;b2;144;RGS259;JEN;JEN;105,348266;1;60,91;225;1;3;1;2;4
y17;ack;b3;232;RGS259;JEN;JEN;113,1756018;6;60,86;291;1;1;2;2;1
y17;ack;b4;308;RGS259;JEN;JEN;121,3129131;1;63,59;363;1;1;1;4;2
y17;ack;b5;420;RGS259;JEN;JEN;101,498776;1;60,45;417;6;1;1;3;1
y17;ack;b1;17;RGS260;QUA;QUA;109,0722154;1;65;135;1;2;2;1;1
y17;ack;b2;129;RGS260;QUA;QUA;128,0327417;1;67,23;201;1;1;2;1;1
y17;ack;b3;253;RGS260;QUA;QUA;116,8894737;4;64,55;273;1;1;3;1;1
y17;ack;b4;341;RGS260;QUA;QUA;116,8013056;1;60,86;327;4;1;3;1;2
y17;ack;b5;405;RGS260;QUA;QUA;99,88245614;1;65,91;369;2;1;2;1;1
