year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;ack;r1;b4;354;RGS088;146ETI12;146ETI12;98,8495308
y17;ack;r1;b3;212;RGS089;146ETI13;146ETI13;91,69549164
y17;ack;r1;b5;416;RGS090;146ETI14;146ETI14;104,7840881
y17;ack;r1;b5;414;RGS091;146OTT01;146OTT01;86,4127907
y17;ack;r1;b1;28;RGS092;146OTT02;146OTT02;101,3572827
y17;ack;r1;b3;233;RGS093;146OTT03;146OTT03;93,07992656
y17;ack;r1;b2;133;RGS094;146OTT04;146OTT04;96,83133415
y17;ack;r1;b4;352;RGS095;146OTT05;146OTT05;87,97882497
y17;ack;r1;b5;428;RGS096;146OTT06;146OTT06;91,65140759
y17;ack;r1;b4;323;RGS097;146OTT07;146OTT07;104,1925337
y17;ack;r1;b2;159;RGS098;146OTT08;146OTT08;80,28584251
y17;ack;r1;b3;224;RGS099;146OTT09;146OTT09;87,88206854
y17;ack;r1;b1;37;RGS100;146OTT10;146OTT10;91,98653611
y17;ack;r1;b5;401;RGS101;D33MER01;D33MER01;62,70736434
y17;ack;r1;b2;152;RGS102;D33MER02;MER;81,99367605
y17;ack;r1;b4;348;RGS103;D33MER03;D33MER03;103,5515912
y17;ack;r1;b2;106;RGS104;D33MER04;D33MER04;82,1622807
y17;ack;r1;b3;213;RGS105;D33MER05;D33MER05;97,4630763
y17;ack;r1;b5;404;RGS106;D33MER06;D33MER06;78,57674419
y17;ack;r1;b4;301;RGS107;D33MER07;D33MER07;87,95658915
y17;ack;r1;b3;209;RGS108;D33MER08;MER;97,18168095
y17;ack;r1;b5;451;RGS109;D33MER09;D33MER09;83,32925337
y17;ack;r1;b5;440;RGS110;D33MER10;D33MER10;93,35740514
y17;ack;r1;b4;343;RGS111;D33MER11;MER;104,6446348
y17;ack;r1;b5;418;RGS112;D33MER12;D33MER12;74,84324765
y17;ack;r1;b1;14;RGS113;D33MER13;D33MER13;69,48502652
y17;ack;r1;b2;116;RGS114;D33MER14;D33MER14;94,19492044
y17;ack;r1;b1;60;RGS115;D33MER15;D33MER15;101,4987964
y17;ack;r1;b2;136;RGS116;D33MER16;D33MER16;80,70683395
y17;ack;r1;b1;39;RGS117;D33MER17;MER;103,8860465
y17;ack;r1;b1;16;RGS118;D33MER18;D33MER18;70,84422685
y17;ack;r1;b3;255;RGS119;D33MER19;D33MER19;82,54871481
y17;ack;r1;b4;321;RGS120;D33MER20;D33MER20;93,40738474
y17;ack;r1;b3;259;RGS121;D33MER21;D33MER21;106,621787
y17;ack;r1;b2;154;RGS122;D33MER22;D33MER22;105,3020808
y17;ack;r1;b1;27;RGS123;D33QUA01;D33QUA01;79,75291718
y17;ack;r1;b3;251;RGS124;D33QUA02;D33QUA02;87,63922889
y17;ack;r1;b4;350;RGS125;D33QUA03;D33QUA03;91,19302326
y17;ack;r1;b3;222;RGS126;D33QUA04;MER;107,449694
y17;ack;r1;b5;435;RGS127;D33QUA05;D33QUA05;77,8745002
y17;ack;r1;b1;26;RGS128;D33QUA06;D33QUA06;64,91407589
y17;ack;r1;b3;228;RGS129;D33QUA07;MER;101,1912689
y17;ack;r1;b1;34;RGS130;D33QUA08;D33QUA08;89,38433293
y17;ack;r1;b3;206;RGS131;D33ETI01;D33ETI01;94,84190126
y17;ack;r1;b4;357;RGS132;D33ETI02;D33ETI02;106,1838025
y17;ack;r1;b2;138;RGS133;D33ETI03;D33ETI03;94,8002448
y17;ack;r1;b3;248;RGS134;D33ETI04;D33ETI04;113,3433089
y17;ack;r1;b2;119;RGS135;D33ETI05;D33ETI05;85,0747858
y17;ack;r1;b1;55;RGS136;D33ETI06;MER;96,76638107
y17;ack;r1;b3;238;RGS137;D33ETI07;D33ETI07;62,04749082
y17;ack;r1;b1;19;RGS138;D33ETI08;MER;94,12221542
y17;ack;r1;b3;215;RGS139;D33ETI09;D33ETI09;86,36160751
y17;ack;r1;b2;111;RGS140;D33ETI10;D33ETI10;113,3219094
y17;ack;r1;b3;203;RGS141;D33ETI11;D33ETI11;105,1036312
y17;ack;r1;b2;157;RGS142;D33ETI12;MER;97,30183599
y17;ack;r1;b1;7;RGS143;D33ETI13;D33ETI13;117,473725
y17;ack;r1;b3;227;RGS144;D33ETI14;MER;92,44010608
y17;ack;r1;b1;58;RGS145;D33ETI15;D33ETI15;107,2496124
y17;ack;r1;b4;355;RGS146;D33ETI16;D33ETI16;84,88351693
y17;ack;r1;b5;449;RGS147;D33ETI17;D33ETI17;85,65458996
y17;ack;r1;b1;47;RGS148;D33ETI18;MER;112,9596083
y17;ack;r1;b4;309;RGS149;D33ETI19;D33ETI19;88,11995104
y17;ack;r1;b3;247;RGS150;D33ETI20;D33ETI20;110,644798
y17;ack;r1;b3;243;RGS151;D37QUA01;D37QUA01;96,48123215
y17;ack;r1;b4;346;RGS152;D37QUA02;D37QUA02;74,88176255
y17;ack;r1;b1;2;RGS153;D37QUA03;D37QUA03;72,90269278
y17;ack;r1;b1;13;RGS154;D37QUA04;D37QUA04;73,8252958
y17;ack;r1;b1;18;RGS155;D37QUA05;D37QUA05;81,30385557
y17;ack;r1;b5;459;RGS156;D37QUA06;MER;105,4387597
y17;ack;r1;b2;115;RGS157;D37QUA07;D37QUA07;76,39339045
y17;ack;r1;b3;226;RGS158;D37QUA08;D37QUA08;88,55148919
y17;ack;r1;b2;143;RGS159;D37QUA09;D37QUA09;92,95809874
y17;ack;r1;b4;330;RGS160;D37QUA10;D37QUA10;79,51019992
y17;ack;r1;b3;252;RGS161;D37QUA11;MER;93,6995104
y17;ack;r1;b3;235;RGS162;D37QUA12;D37QUA12;83,93013056
y17;ack;r1;b4;336;RGS163;D37QUA13;D37QUA13;84,87649939
y17;ack;r1;b3;237;RGS164;D37QUA14;D37QUA14;90,50342717
y17;ack;r1;b5;411;RGS165;D37QUA15;D37QUA15;90,61776826
y17;ack;r1;b2;104;RGS166;D37QUA16;D37QUA16;102,9265606
y17;ack;r1;b2;114;RGS167;D37QUA17;MER;101,2162995
y17;ack;r1;b4;358;RGS168;D37QUA18;D37QUA18;90,24235006
y17;ack;r1;b2;139;RGS169;D37QUA19;D37QUA19;91,49473684
y17;ack;r1;b2;158;RGS170;D37QUA20;D37QUA20;89,65465116
y17;ack;r1;b3;207;RGS171;D37QUA21;D37QUA21;73,33937169
y17;ack;r1;b5;458;RGS172;D37QUA22;MER;98,15116279
y17;ack;r1;b2;123;RGS173;D37QUA23;D37QUA23;112,3226438
y17;ack;r1;b5;433;RGS174;D37QUA24;D37QUA24;79,93488372
y17;ack;r1;b2;103;RGS175;D37QUA25;MER;115,2037944
y17;ack;r1;b5;434;RGS176;D37QUA26;D37QUA26;76,53512852
y17;ack;r1;b4;351;RGS177;D37QUA27;D37QUA27;83,16829865
y17;ack;r1;b4;302;RGS178;D37QUA28;D37QUA28;88,7500612
y17;ack;r1;b1;23;RGS179;D37QUA29;D37QUA29;86,65514076
y17;ack;r1;b4;304;RGS180;D37QUA30;D37QUA30;91,48221134
y17;ack;r1;b2;134;RGS181;D37QUA31;D37QUA31;97,67188902
y17;ack;r1;b5;406;RGS182;D37QUA32;D37QUA32;83,67270502
y17;ack;r1;b1;43;RGS183;D37QUA33;D37QUA33;89,225561
y17;ack;r1;b4;359;RGS184;D37QUA34;D37QUA34;105,7525704
y17;ack;r1;b1;45;RGS185;D37QUA35;MER;104,2641371
y17;ack;r1;b1;59;RGS186;D37QUA36;D37QUA36;96,65542636
y17;ack;r1;b5;426;RGS187;D37QUA37;D37QUA37;70,21313749
y17;ack;r1;b2;102;RGS188;D37OTT01;D37OTT01;79,26081191
y17;ack;r1;b1;57;RGS189;D37OTT02;D37OTT02;98,2243982
y17;ack;r1;b3;223;RGS190;D37OTT03;D37OTT03;90,75899633
y17;ack;r1;b2;140;RGS191;D37OTT04;D37OTT04;96,90966952
y17;ack;r1;b2;118;RGS192;D37OTT05;D37OTT05;76,8249694
y17;ack;r1;b4;319;RGS193;D37OTT06;D37OTT06;91,30477356
y17;ack;r1;b5;423;RGS194;D37OTT07;MER;94,25846593
y17;ack;r1;b4;327;RGS195;D37OTT08;D37OTT08;105,5986944
y17;ack;r1;b5;439;RGS196;D37OTT09;D37OTT09;97,55475316
y17;ack;r1;b4;310;RGS197;D37OTT10;D37OTT10;96,32292942
y17;ack;r1;b5;424;RGS198;D37OTT11;MER;98,88435333
y17;ack;r1;b4;306;RGS199;D37OTT12;MER;104,2629131
y17;ack;r1;b3;257;RGS200;D37OTT13;D37OTT13;86,40330477
y17;ack;r1;b1;22;RGS201;ANTMER01;ANTMER01;97,92378621
y17;ack;r1;b3;218;RGS202;ANTMER02;ANTMER02;109,6202366
y17;ack;r1;b5;446;RGS203;ANTMER03;ANTMER03;91,49932681
y17;ack;r1;b2;148;RGS204;ANTMER04;ANTMER04;101,2290494
y17;ack;r1;b4;311;RGS205;ANTMER05;ANTMER05;120,3896165
y17;ack;r1;b4;324;RGS206;ANTMER06;ANTMER06;112,8408813
y17;ack;r1;b2;146;RGS207;ANTMER07;ANTMER07;95,29638923
y17;ack;r1;b1;4;RGS208;ANTMER08;ANTMER08;113,2347613
y17;ack;r1;b3;239;RGS209;ANTMER09;ANTMER09;109,1618727
y17;ack;r1;b1;10;RGS210;ANTMER10;ANTMER10;106,0511628
y17;ack;r1;b1;35;RGS211;ANTMER11;ANTMER11;100,9588127
y17;ack;r1;b5;448;RGS212;ANTMER12;ANTMER12;111,6540188
y17;ack;r1;b2;121;RGS213;ANTMER13;ANTMER13;104,6416769
y17;ack;r1;b4;333;RGS214;ANTMER14;ANTMER14;107,4501224
y17;ack;r1;b3;214;RGS215;ANTMER15;ANTMER15;83,33604651
y17;ack;r1;b5;436;RGS216;ANTMER16;ANTMER16;105,5930641
y17;ack;r1;b2;149;RGS217;ANTQUA01;ANTQUA01;115,9562424
y17;ack;r1;b1;6;RGS218;ANTQUA02;ANTQUA02;117,0928193
y17;ack;r1;b2;110;RGS219;ANTQUA03;ANTQUA03;108,6381069
