year;loc;rep;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld
y17;lim;r1;b2;119;20;3;RGS007;101MER07;101MER07;77,61904762
y17;lim;r1;b2;120;21;3;RGS145;D33ETI15;MER;85,87301587
y17;lim;r1;b2;121;22;3;RGS249;ANTOTT03;ANTOTT03;79,36507937
y17;lim;r1;b2;122;23;3;RGS136;D33ETI06;D33ETI06;77,61904762
y17;lim;r1;b2;123;24;3;RGS258;ETI;ETI;90,47619048
y17;lim;r1;b2;124;25;3;RGS225;ANTQUA09;ANTQUA09;90,15873016
y17;lim;r1;b2;125;26;3;RGS031;101JEN11;101JEN11;75,87301587
y17;lim;r1;b2;126;27;3;RGS042;101ETI10;101ETI10;66,66666667
y17;lim;r1;b2;127;28;3;RGS220;ANTQUA04;ANTQUA04;90
y17;lim;r1;b2;128;29;3;RGS067;146QUA07;146QUA07;85,07936508
y17;lim;r1;b2;129;30;3;RGS252;146;146;70,47619048
y17;lim;r1;b2;130;31;3;RGS146;D33ETI16;D33ETI16;86,50793651
y17;lim;r1;b2;131;31;4;RGS091;146OTT01;146OTT01;80,79365079
y17;lim;r1;b2;132;30;4;RGS016;101MER16;101MER16;92,06349206
y17;lim;r1;b2;133;29;4;RGS063;146QUA03;146QUA03;71,58730159
y17;lim;r1;b2;134;28;4;RGS068;146QUA08;146QUA08;72,53968254
y17;lim;r1;b2;135;27;4;RGS257;MER;MER;96,50793651
y17;lim;r1;b2;136;26;4;RGS040;101ETI08;101ETI08;88,88888889
y17;lim;r1;b2;137;25;4;RGS041;101ETI09;101ETI09;78,73015873
y17;lim;r1;b2;138;24;4;RGS036;101ETI04;101ETI04;80,95238095
y17;lim;r1;b2;139;23;4;RGS088;146ETI12;146ETI12;73,01587302
y17;lim;r1;b2;140;22;4;RGS110;D33MER10;D33MER10;98,57142857
y17;lim;r1;b2;141;21;4;RGS253;D33;D33;82,85714286
y17;lim;r1;b2;142;20;4;RGS205;ANTMER05;ANTMER05;92,38095238
y17;lim;r1;b2;143;19;4;RGS112;D33MER12;D33MER12;88,57142857
y17;lim;r1;b2;144;18;4;RGS045;101ETI13;101ETI13;69,36507937
y17;lim;r1;b2;145;17;4;RGS157;D37QUA07;D37QUA07;84,92063492
y17;lim;r1;b2;146;16;4;RGS181;D37QUA31;D37QUA31;92,38095238
y17;lim;r1;b2;147;15;4;RGS259;JEN;JEN;100,7936508
y17;lim;r1;b2;148;14;4;RGS201;ANTMER01;ANTMER01;95,55555556
y17;lim;r1;b2;149;13;4;RGS202;ANTMER02;ANTMER02;99,36507937
y17;lim;r1;b2;150;12;4;RGS029;101JEN09;101JEN09;72,6984127
y17;lim;r1;b2;151;11;4;RGS180;D37QUA30;MER;100
y17;lim;r1;b2;152;10;4;RGS030;101JEN10;101JEN10;71,11111111
y17;lim;r1;b2;153;9;4;RGS251;101;101;91,74603175
y17;lim;r1;b2;154;8;4;RGS087;146ETI10;146ETI10;70,95238095
y17;lim;r1;b2;155;7;4;RGS056;146MER06;146MER06;80,15873016
y17;lim;r1;b2;156;6;4;RGS013;101MER13;101MER13;75,3968254
y17;lim;r1;b2;157;5;4;RGS062;146QUA02;146QUA02;81,58730159
y17;lim;r1;b2;158;4;4;RGS223;ANTQUA07;ANTQUA07;103,8095238
y17;lim;r1;b2;159;3;4;RGS255;OTT;OTT;85,87301587
y17;lim;r1;b2;160;2;4;RGS159;D37QUA09;D37QUA09;88,41269841
y17;lim;r1;b3;201;2;5;RGS203;ANTMER03;ANTMER03;88,41269841
y17;lim;r1;b3;202;3;5;RGS184;D37QUA34;D37QUA34;83,80952381
y17;lim;r1;b3;203;4;5;RGS213;ANTMER13;ANTMER13;98,41269841
y17;lim;r1;b3;204;5;5;RGS024;101JEN04;101JEN04;72,53968254
y17;lim;r1;b3;205;6;5;RGS256;ANT;ANT;94,44444444
y17;lim;r1;b3;206;7;5;RGS222;ANTQUA06;ANTQUA06;94,92063492
y17;lim;r1;b3;207;8;5;RGS133;D33ETI03;MER;99,20634921
y17;lim;r1;b3;208;9;5;RGS101;D33MER01;D33MER01;84,76190476
y17;lim;r1;b3;209;10;5;RGS008;101MER08;101MER08;86,03174603
y17;lim;r1;b3;210;11;5;RGS010;101MER10;101MER10;80,63492063
y17;lim;r1;b3;211;12;5;RGS252;146;146;NA
y17;lim;r1;b3;212;13;5;RGS119;D33MER19;D33MER19;92,85714286
y17;lim;r1;b3;213;14;5;RGS003;101MER03;101MER03;70,95238095
y17;lim;r1;b3;214;15;5;RGS058;146MER08;146MER08;77,77777778
y17;lim;r1;b3;215;16;5;RGS243;ANTETI15;ANTETI15;90,63492063
y17;lim;r1;b3;216;17;5;RGS199;D37OTT12;MER;80,47619048
y17;lim;r1;b3;217;18;5;RGS260;QUA;QUA;92,22222222
y17;lim;r1;b3;218;19;5;RGS214;ANTMER14;ANTMER14;101,5873016
y17;lim;r1;b3;219;20;5;RGS021;101JEN01;101JEN01;95,3968254
y17;lim;r1;b3;220;21;5;RGS082;146ETI05;146ETI05;75,71428571
y17;lim;r1;b3;221;22;5;RGS165;D37QUA15;D37QUA15;96,50793651
y17;lim;r1;b3;222;23;5;RGS096;146OTT06;146OTT06;66,50793651
y17;lim;r1;b3;223;24;5;RGS254;D37;D37;59,36507937
y17;lim;r1;b3;224;25;5;RGS122;D33MER22;MER;100,3174603
y17;lim;r1;b3;225;26;5;RGS196;D37OTT09;D37OTT09;91,11111111
y17;lim;r1;b3;226;27;5;RGS219;ANTQUA03;ANTQUA03;102,5396825
y17;lim;r1;b3;227;28;5;RGS178;D37QUA28;D37QUA28;85,71428571
y17;lim;r1;b3;228;29;5;RGS118;D33MER18;D33MER18;89,36507937
y17;lim;r1;b3;229;30;5;RGS258;ETI;ETI;97,14285714
y17;lim;r1;b3;230;31;5;RGS171;D37QUA21;D37QUA21;95,07936508
y17;lim;r1;b3;231;31;6;RGS147;D33ETI17;D33ETI17;96,66666667
y17;lim;r1;b3;232;30;6;RGS235;ANTETI07;ANTETI07;91,74603175
y17;lim;r1;b3;233;29;6;RGS246;ANTETI18;ANTETI18;92,38095238
y17;lim;r1;b3;234;28;6;RGS226;ANTQUA10;ANTQUA10;101,1111111
y17;lim;r1;b3;235;27;6;RGS253;D33;D33;83,17460317
y17;lim;r1;b3;236;26;6;RGS208;ANTMER08;ANTMER08;99,52380952
y17;lim;r1;b3;237;25;6;RGS089;146ETI13;146ETI13;85,07936508
y17;lim;r1;b3;238;24;6;RGS025;101JEN05;101JEN05;77,61904762
y17;lim;r1;b3;239;23;6;RGS004;101MER04;101MER04;87,14285714
y17;lim;r1;b3;240;22;6;RGS020;101QUA01;101QUA01;74,6031746
y17;lim;r1;b3;241;21;6;RGS259;JEN;JEN;92,06349206
y17;lim;r1;b3;242;20;6;RGS224;ANTQUA08;ANTQUA08;85,71428571
y17;lim;r1;b3;243;19;6;RGS092;146OTT02;146OTT02;76,19047619
y17;lim;r1;b3;244;18;6;RGS047;101OTT04;MER;95,23809524
y17;lim;r1;b3;245;17;6;RGS198;D37OTT11;D37OTT11;83,33333333
y17;lim;r1;b3;246;16;6;RGS114;D33MER14;D33MER14;93,49206349
y17;lim;r1;b3;247;15;6;RGS255;OTT;OTT;88,57142857
y17;lim;r1;b3;248;14;6;RGS158;D37QUA08;D37QUA08;89,04761905
y17;lim;r1;b3;249;13;6;RGS034;101ETI02;101ETI02;72,22222222
y17;lim;r1;b3;250;12;6;RGS204;ANTMER04;ANTMER04;93,80952381
y17;lim;r1;b3;251;11;6;RGS038;101ETI06;101ETI06;83,33333333
y17;lim;r1;b3;252;10;6;RGS097;146OTT07;146OTT07;85,55555556
y17;lim;r1;b3;253;9;6;RGS257;MER;MER;98,41269841
