year;loc;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld;Lager1;Lager2;Lager;HLG;Fraktion;TKM;pltb;MT;ZR
y17;lim;b1;50;12;2;RGS052;146MER02;146MER02;91,11111111;1;1;3;59,9;26,2;32,4;52;1;6
y17;lim;b4;301;2;7;RGS053;146MER03;146MER03;85,3968254;1;1;3;63;64,3;37,9;53;1;4
y17;lim;b4;307;8;7;RGS054;146MER04;146MER04;86,66666667;5;5;4;61,8;70,6;38,3;54;1;3
y17;lim;b1;40;22;2;RGS055;146MER05;146MER05;89,36507937;3;6;5;61;47,9;35,6;55;1;2
y17;lim;b2;155;7;4;RGS056;146MER06;146MER06;80,15873016;1;1;5;63;34,5;31;56;1;3
y17;lim;b4;320;21;7;RGS057;146MER07;146MER07;97,3015873;1;1;3;62,6;65,5;40,5;57;1;3
y17;lim;b3;214;15;5;RGS058;146MER08;146MER08;77,77777778;1;1;5;66,1;82,2;39,8;58;1;2
y17;lim;b1;44;18;2;RGS059;146MER09;146MER09;82,22222222;2;1;3;64,5;48,1;35,3;59;3;3
y17;lim;b5;454;8;10;RGS060;146MER10;146MER10;65,3968254;1;1;4;63,4;60,1;38,6;60;1;3
y17;lim;b2;118;19;3;RGS061;146QUA01;146QUA01;76,50793651;1;3;2;63;42,2;31,3;61;1;2
y17;lim;b2;157;5;4;RGS062;146QUA02;146QUA02;81,58730159;5;7;6;58,7;23,7;44,2;62;1;2
y17;lim;b2;133;29;4;RGS063;146QUA03;146QUA03;71,58730159;1;2;4;64,2;34,9;28,9;63;1;2
y17;lim;b1;36;26;2;RGS064;146QUA04;146QUA04;76,66666667;5;5;7;64,5;21,8;28,6;64;1;3
y17;lim;b4;304;5;7;RGS065;146QUA05;146QUA05;88,73015873;1;1;1;65,7;69,7;41;65;1;2
y17;lim;b3;254;8;6;RGS066;146QUA06;146QUA06;89,52380952;1;1;3;68;71,4;38,9;66;2;2
y17;lim;b2;128;29;3;RGS067;146QUA07;146QUA07;85,07936508;1;1;3;64,2;32,9;31,8;67;1;2
y17;lim;b2;134;28;4;RGS068;146QUA08;146QUA08;72,53968254;2;4;6;62,2;27,7;29,9;68;1;3
y17;lim;b5;445;17;10;RGS069;146QUA09;146QUA09;92,6984127;1;1;3;66,9;64;35,7;69;2;3
y17;lim;b5;456;6;10;RGS070;146QUA10;146QUA10;86,98412698;1;2;5;62,2;45,9;63,4;70;2;3
y17;lim;b5;428;29;9;RGS071;146JEN01;146JEN01;75,71428571;8;7;8;64,9;43,9;33,7;71;1;3
y17;lim;b1;49;13;2;RGS072;146JEN02;146JEN02;86,03174603;1;1;1;68,8;78,7;43,9;72;4;4
y17;lim;b4;351;11;8;RGS073;146JEN03;MER;95,23809524;1;1;1;66,1;88,9;45;73;1;2
y17;lim;b3;260;2;6;RGS074;146JEN04;146JEN04;72,85714286;3;5;6;60,6;27,4;29,7;74;2;2
y17;lim;b1;28;29;1;RGS075;146JEN05;146JEN05;76,82539683;1;2;3;60,6;42,8;34,5;75;2;3
y17;lim;b1;33;29;2;RGS076;146JEN06;146JEN06;76,50793651;1;3;5;66,1;30,2;30,5;76;1;2
y17;lim;b1;48;14;2;RGS077;146JEN07;146JEN07;73,17460317;1;1;1;64,9;52,9;34,6;77;3;3
y17;lim;b4;331;31;8;RGS078;146ETI01;146ETI01;92,53968254;1;1;2;67,7;76,2;36,8;78;3;2
y17;lim;b2;103;4;3;RGS079;146ETI02;146ETI02;63,49206349;1;1;1;64,2;40;33,1;79;2;2
y17;lim;b4;354;8;8;RGS080;146ETI03;146ETI03;79,36507937;1;1;4;65,3;47,9;27,8;80;2;3
y17;lim;b4;303;4;7;RGS081;146ETI04;146ETI04;63,65079365;4;6;7;57,1;23,1;29,1;81;1;5
y17;lim;b3;220;21;5;RGS082;146ETI05;146ETI05;75,71428571;1;1;3;68;63,7;37,2;82;1;3
y17;lim;b1;60;2;2;RGS083;146ETI06;146ETI06;79,20634921;1;1;1;67,3;52,9;36,6;83;3;5
y17;lim;b2;115;16;3;RGS084;146ETI07;146ETI07;73,96825397;6;5;4;67,7;72,1;39,1;84;3;4
y17;lim;b5;414;15;9;RGS085;146ETI08;146ETI08;77,93650794;1;1;3;68,4;57,8;31,2;85;1;2
y17;lim;b5;425;26;9;RGS086;146ETI09;146ETI09;78,73015873;5;6;6;59,9;40;28,4;86;2;3
y17;lim;b2;154;8;4;RGS087;146ETI10;146ETI10;70,95238095;3;7;7;59,9;48,3;29,4;87;1;3
y17;lim;b2;139;23;4;RGS088;146ETI12;146ETI12;73,01587302;1;1;5;64,5;31,8;28,9;88;1;3
y17;lim;b3;237;25;6;RGS089;146ETI13;146ETI13;85,07936508;1;1;1;70;61,4;35,6;89;3;3
y17;lim;b4;322;23;7;RGS090;146ETI14;146ETI14;73,80952381;1;1;1;58,3;18,7;26,7;90;3;4
y17;lim;b2;131;31;4;RGS091;146OTT01;146OTT01;80,79365079;1;2;3;63,4;49,5;29,5;91;1;3
y17;lim;b3;243;19;6;RGS092;146OTT02;146OTT02;76,19047619;1;6;4;58,4;39;35,1;92;1;3
y17;lim;b4;308;9;7;RGS093;146OTT03;146OTT03;79,52380952;1;1;4;60,6;31,5;31,2;93;1;4
y17;lim;b4;342;20;8;RGS094;146OTT04;146OTT04;71,42857143;1;3;5;62,6;30,4;28,8;94;1;2
y17;lim;b1;30;31;1;RGS095;146OTT05;146OTT05;77,46031746;1;1;3;66,5;28,8;29;95;1;2
y17;lim;b3;222;23;5;RGS096;146OTT06;146OTT06;66,50793651;1;1;5;60,3;20,6;26,5;96;1;3
y17;lim;b3;252;10;6;RGS097;146OTT07;146OTT07;85,55555556;1;1;3;61,8;39,6;35,1;97;1;3
y17;lim;b1;39;23;2;RGS098;146OTT08;146OTT08;70,63492063;2;5;5;61,8;28,3;28,3;98;1;4
y17;lim;b4;326;27;7;RGS099;146OTT09;146OTT09;80;1;1;1;64,9;34,2;32,8;99;1;3
y17;lim;b4;321;22;7;RGS100;146OTT10;146OTT10;78,88888889;1;1;4;65,3;24,6;28,3;100;1;3
y17;lim;b3;208;9;5;RGS101;D33MER01;D33MER01;84,76190476;6;6;4;65,7;84,9;44,8;101;3;4
y17;lim;b5;460;2;10;RGS102;D33MER02;D33MER02;82,38095238;1;1;3;64,5;91,6;42,6;102;3;8
y17;lim;b2;109;10;3;RGS103;D33MER03;D33MER03;88,0952381;1;1;1;64,9;69;41,3;103;3;3
y17;lim;b5;432;30;10;RGS104;D33MER04;D33MER04;93,33333333;1;1;3;65,7;88,1;41,8;104;5;5
y17;lim;b2;101;2;3;RGS105;D33MER05;D33MER05;85,23809524;1;1;1;61,4;70,7;39,1;105;4;4
y17;lim;b2;107;8;3;RGS106;D33MER06;D33MER06;78,25396825;1;1;3;64,2;73,5;38,3;106;3;4
y17;lim;b1;22;23;1;RGS107;D33MER07;D33MER07;98,0952381;4;4;4;66,1;86,3;41,7;107;5;4
y17;lim;b5;440;22;10;RGS108;D33MER08;D33MER08;86,82539683;2;2;3;65,3;87,2;44,2;108;4;6
