year;loc;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld;Lager1;Lager2;Lager;HLG;Fraktion;TKM;pltb;MT;ZR
y17;lim;b3;242;20;6;RGS224;ANTQUA08;ANTQUA08;85,71428571;1;1;1;67,3;78,6;40,2;224;1;2
y17;lim;b2;124;25;3;RGS225;ANTQUA09;ANTQUA09;90,15873016;1;1;1;63,4;77,2;40,3;225;1;2
y17;lim;b3;234;28;6;RGS226;ANTQUA10;ANTQUA10;101,1111111;1;1;1;63,4;88;46,3;226;1;2
y17;lim;b5;418;19;9;RGS227;ANTQUA11;ANTQUA11;96,82539683;1;1;2;62,6;69,5;39,8;227;1;2
y17;lim;b4;316;17;7;RGS228;ANTQUA12;ANTQUA12;102,6984127;1;1;1;64,5;77,3;41,7;228;1;1
y17;lim;b2;113;14;3;RGS229;ANTETI01;ANTETI01;79,84126984;1;1;3;64,2;74,6;39,1;229;3;3
y17;lim;b1;52;10;2;RGS230;ANTETI02;ANTETI02;85,87301587;1;1;3;63;73,8;44,4;230;2;3
y17;lim;b1;54;8;2;RGS231;ANTETI03;ANTETI03;85,23809524;1;1;1;64,9;78,4;39,1;231;3;2
y17;lim;b5;420;21;9;RGS232;ANTETI04;ANTETI04;107,3015873;1;1;2;64,5;73,7;37,5;232;1;1
y17;lim;b3;256;6;6;RGS233;ANTETI05;ANTETI05;79,36507937;1;1;2;61,4;55,3;33,9;233;2;3
y17;lim;b4;348;14;8;RGS234;ANTETI06;ANTETI06;107,1428571;1;1;1;63,8;83,7;42,2;234;1;2
y17;lim;b3;232;30;6;RGS235;ANTETI07;ANTETI07;91,74603175;1;1;3;60,3;56,8;33,4;235;2;3
y17;lim;b4;327;28;7;RGS236;ANTETI08;ANTETI08;89,52380952;1;1;3;62,2;56,2;35,7;236;1;3
y17;lim;b1;56;6;2;RGS237;ANTETI09;ANTETI09;87,77777778;1;1;1;64,2;67,3;37,6;237;1;3
y17;lim;b1;16;17;1;RGS238;ANTETI10;ANTETI10;98,41269841;1;1;2;62,6;61,8;36,9;238;2;2
y17;lim;b1;21;22;1;RGS239;ANTETI11;ANTETI11;97,93650794;1;1;2;63;72,4;37;239;1;2
y17;lim;b1;42;20;2;RGS240;ANTETI12;ANTETI12;79,36507937;1;1;1;63,4;64;35,3;240;1;2
y17;lim;b4;309;10;7;RGS241;ANTETI13;ANTETI13;104,2857143;1;1;1;64,9;85,1;42,2;241;1;3
y17;lim;b1;3;4;1;RGS242;ANTETI14;ANTETI14;91,58730159;1;1;1;63,8;78,6;38,2;242;1;3
y17;lim;b3;215;16;5;RGS243;ANTETI15;ANTETI15;90,63492063;1;1;2;63,8;71;40;243;1;2
y17;lim;b4;343;19;8;RGS244;ANTETI16;ANTETI16;88,41269841;1;1;3;66,1;69,9;38,6;244;1;2
y17;lim;b1;26;27;1;RGS245;ANTETI17;ANTETI17;93,80952381;1;1;1;66,5;93,1;43,1;245;1;3
y17;lim;b3;233;29;6;RGS246;ANTETI18;ANTETI18;92,38095238;1;1;1;64,5;79,7;36,8;246;1;3
y17;lim;b5;444;18;10;RGS247;ANTOTT01;ANTOTT01;99,04761905;1;1;1;63,4;84,1;40,7;247;2;3
y17;lim;b2;106;7;3;RGS248;ANTOTT02;ANTOTT02;79,36507937;1;1;3;61,4;78,7;39,1;248;1;2
y17;lim;b2;121;22;3;RGS249;ANTOTT03;ANTOTT03;79,36507937;1;1;3;59,1;62,1;34,7;249;2;3
y17;lim;b5;408;9;9;RGS250;ANTOTT04;ANTOTT04;102,5396825;1;1;1;61,8;48,2;29,9;250;2;2
y17;lim;b1;41;21;2;RGS251;101;101;81,26984127;4;5;4;63,8;78;38,9;251;2;8
y17;lim;b2;153;9;4;RGS251;101;101;91,74603175;1;1;2;58,7;41,4;31,4;NA;NA;NA
y17;lim;b3;259;3;6;RGS251;101;101;78,41269841;1;1;2;60,6;30,9;29,9;NA;NA;NA
y17;lim;b4;347;15;8;RGS251;101;101;73,33333333;8;8;8;61,4;35,2;29,9;NA;NA;NA
y17;lim;b5;435;27;10;RGS251;101;101;87,3015873;1;1;2;64,2;79,5;39,1;NA;NA;NA
y17;lim;b1;17;18;1;RGS252;146;146;79,36507937;1;1;2;65,7;54,1;34,7;252;2;2
y17;lim;b2;129;30;3;RGS252;146;146;70,47619048;3;7;6;63,4;38,5;24;NA;NA;NA
y17;lim;b3;211;12;5;RGS252;146;146;NA;1;1;1;66,5;89;45;NA;NA;NA
y17;lim;b4;305;6;7;RGS252;146;146;68,25396825;3;6;6;60,3;30,7;27;NA;NA;NA
y17;lim;b5;423;24;9;RGS252;146;146;65,23809524;7;8;8;61;29,1;24;NA;NA;NA
y17;lim;b1;59;3;2;RGS253;D33;D33;81,26984127;1;1;3;64,9;86,9;40,3;253;7;4
y17;lim;b2;141;21;4;RGS253;D33;D33;82,85714286;4;5;4;68;86,8;42,9;NA;NA;NA
y17;lim;b3;235;27;6;RGS253;D33;D33;83,17460317;2;3;3;66,5;89;45,9;NA;NA;NA
y17;lim;b4;353;9;8;RGS253;D33;D33;78,73015873;6;7;5;64,9;79,5;43,7;NA;NA;NA
y17;lim;b5;447;15;10;RGS253;D33;D33;75,3968254;7;7;5;64,9;81,2;46,3;NA;NA;NA
y17;lim;b1;11;12;1;RGS254;D37;D37;55,71428571;8;8;7;61,8;86,9;45;254;2;4
y17;lim;b2;117;18;3;RGS254;D37;D37;67,3015873;4;5;5;64,5;81;44,6;NA;NA;NA
y17;lim;b3;223;24;5;RGS254;D37;D37;59,36507937;8;8;7;62,2;83,3;42,9;NA;NA;NA
y17;lim;b4;329;30;7;RGS254;D37;D37;73,01587302;7;8;7;63;78,4;41,5;NA;NA;NA
y17;lim;b5;405;6;9;RGS254;D37;D37;75,55555556;8;8;7;60,3;80,4;41,7;NA;NA;NA
y17;lim;b1;35;27;2;RGS255;OTT;OTT;94,12698413;1;1;1;60,3;72,7;39,5;255;3;2
y17;lim;b2;159;3;4;RGS255;OTT;OTT;85,87301587;1;1;1;59,5;49,2;39,2;NA;NA;NA
y17;lim;b3;247;15;6;RGS255;OTT;OTT;88,57142857;1;1;2;61;69,7;39,8;NA;NA;NA
y17;lim;b4;341;21;8;RGS255;OTT;OTT;101,1111111;1;1;1;61,8;75,7;41,2;NA;NA;NA
y17;lim;b5;453;9;10;RGS255;OTT;OTT;92,38095238;1;1;2;61;76,5;42;NA;NA;NA
y17;lim;b1;23;24;1;RGS256;ANT;ANT;105,0793651;1;1;1;63;87,8;44,4;256;1;3
y17;lim;b2;111;12;3;RGS256;ANT;ANT;87,3015873;1;1;2;61,8;77,2;39,4;NA;NA;NA
y17;lim;b3;205;6;5;RGS256;ANT;ANT;94,44444444;1;1;2;62,2;81,4;40,3;NA;NA;NA
y17;lim;b4;317;18;7;RGS256;ANT;ANT;94,92063492;1;1;2;62,6;85,4;39,7;NA;NA;NA
y17;lim;b5;429;30;9;RGS256;ANT;ANT;95,23809524;1;1;1;64,5;87;44,8;NA;NA;NA
y17;lim;b1;47;15;2;RGS257;MER;MER;100;1;1;1;65,7;87,7;42,4;257;1;4
y17;lim;b2;135;27;4;RGS257;MER;MER;96,50793651;1;1;1;65,7;91,8;41,8;NA;NA;NA
y17;lim;b3;253;9;6;RGS257;MER;MER;98,41269841;1;1;3;64,9;89,7;44,2;NA;NA;NA
y17;lim;b4;359;3;8;RGS257;MER;MER;105,0793651;1;1;1;66,1;93,1;67,6;NA;NA;NA
y17;lim;b5;441;21;10;RGS257;MER;MER;104,6031746;1;1;2;66,5;94,7;45;NA;NA;NA
y17;lim;b1;5;6;1;RGS258;ETI;ETI;96,66666667;1;1;1;60,3;73,7;39,8;258;1;5
y17;lim;b2;123;24;3;RGS258;ETI;ETI;90,47619048;1;1;3;65,7;73,5;36,5;NA;NA;NA
y17;lim;b3;229;30;5;RGS258;ETI;ETI;97,14285714;1;1;1;66,1;76,5;39,5;NA;NA;NA
y17;lim;b4;311;12;7;RGS258;ETI;ETI;105,5555556;1;1;3;66,1;78,2;51,3;NA;NA;NA
y17;lim;b5;417;18;9;RGS258;ETI;ETI;103,015873;1;1;2;65,7;77,5;39,5;NA;NA;NA
y17;lim;b1;53;9;2;RGS259;JEN;JEN;97,3015873;1;1;1;63,4;68,7;40,5;259;2;2
y17;lim;b2;147;15;4;RGS259;JEN;JEN;100,7936508;1;1;2;64,2;65,3;41;NA;NA;NA
y17;lim;b3;241;21;6;RGS259;JEN;JEN;92,06349206;1;1;2;61,8;59,5;38,9;NA;NA;NA
y17;lim;b4;335;27;8;RGS259;JEN;JEN;106,984127;1;1;3;64,5;75,3;42;NA;NA;NA
y17;lim;b5;459;3;10;RGS259;JEN;JEN;104,1269841;1;1;4;63;77,3;42,2;NA;NA;NA
y17;lim;b1;29;30;1;RGS260;QUA;QUA;100,1587302;1;1;1;66,5;74,1;44,4;260;1;2
y17;lim;b2;105;6;3;RGS260;QUA;QUA;95,23809524;1;1;1;66,9;83;45,5;NA;NA;NA
y17;lim;b3;217;18;5;RGS260;QUA;QUA;92,22222222;1;1;1;64,9;79,4;43,3;NA;NA;NA
y17;lim;b4;323;24;7;RGS260;QUA;QUA;104,7619048;1;1;1;65,3;70,8;42,7;NA;NA;NA
y17;lim;b5;411;12;9;RGS260;QUA;QUA;106,031746;1;1;1;66,1;77;43,5;NA;NA;NA
